"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C29,C31";"C1V7";2;"47µ";;;
2;"C13,C15,C17,C19";"C1V7";4;"2µ2";;;
3;"C12,C14,C16,C18";"C1V7";4;"1µ";;;
4;"R26,R13,R27,R31,R28,R29";"R4";6;"4k7";;;
5;"R30,R15,R16,R11,R10,R32,R33";"R4";7;"22k";;;
6;"RV5,RV8,RV7,RV6";"RV2";4;"47k";;;
7;"U11,U14,U13,U12";"DIP-8__300_ELL";4;"LM567";;;
8;"C21,C22";"C2";2;"47n";;;
9;"C25,C28,C27,C26,C8,C7,C6,C5,C4,C3,C32";"C2";11;"100n";;;
10;"P69,P68,P67,P61,P64,P63,P62";"1pin";7;"CONN_1";;;
11;"P65";"AK300-2";1;"CONN_2";;;
12;"C10,C9";"C1";2;"2n2";;;
13;"C24,C23";"C2";2;"22n";;;
14;"C11";"C2";1;"220n";;;
15;"C2";"C2";1;"470n";;;
16;"D7,D6,D5,D4,D3,D2";"D3";6;"1N4148";;;
17;"U7";"DIP-14__300_ELL";1;"MCP6294";;;
18;"U6";"DIP-16__300_ELL";1;"74HC157";;;
19;"U4,U3,U2,U1";"DIP-24__300_ELL";4;"A6276ELW";;;
20;"P66";"PIN_ARRAY_4x1";1;"Pollin";;;
21;"RV4,RV3,RV2,RV1";"RV2";4;"1k";;;
22;"P70";"VASCH5x2";1;"CONN_5X2";;;
23;"P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P16,P32,P48";"1pin_smd";60;"CONN_1";;;
24;"C20";"C2";1;"1000n";;;
25;"R7,R8,R5,R6,R4";"R4";5;"470";;;
26;"R19,R18,R17";"R4";3;"220";;;
27;"R22,R12,R21";"R4";3;"10k";;;
28;"R25";"R4";1;"1M";;;
29;"R24,R20,R9";"R4";3;"47k";;;
30;"R1";"R4";1;"3k3";;;
31;"R3";"R4";1;"330";;;
32;"R2";"R4";1;"100k";;;
33;"R23";"R4";1;"2k2";;;
34;"1PIN,1PIN,1PIN,1PIN,1PIN,1PIN,1PIN,1PIN";"1pin";8;"P***";;;
35;"U5";"Adapterplatine_1.0";1;"ADAPTERPLATINE";;;
36;"K1";"PIN_ARRAY_3X1";1;"CONN_3";;;
37;"U8,U9,U10";"SO8E";3;"IRF7416";;;
38;"C1,C30";"CP_16x25mm";2;"2200µ";;;
39;"P71";"PIN_ARRAY_4x1";1;"Reichelt";;;
